model,predicted_probability,rcs_calibrated_observed_probability,ci95_lower,ci95_upper,valid_bootstrap_curves
LM5_common18,0.2153988737699207,0.2602042800493082,0.2403525746150265,0.2786365869864334,2000
LM5_common18,0.2212858029184326,0.2659738857619632,0.2457502367635363,0.2847084412816979,2000
LM5_common18,0.2271727320669445,0.271679262246682,0.2509921459820351,0.2904651510586498,2000
LM5_common18,0.2330596612154564,0.277323143143661,0.2563986196315205,0.2964001753350819,2000
LM5_common18,0.2389465903639683,0.2829081540788398,0.2618927459336046,0.3022388414920598,2000
LM5_common18,0.2448335195124802,0.2884368178516703,0.267406935419465,0.3079652042647529,2000
LM5_common18,0.2507204486609921,0.2939115595156677,0.2728174509751866,0.3134031111006844,2000
LM5_common18,0.256607377809504,0.2993347113181984,0.2781486850473192,0.3188243989356697,2000
LM5_common18,0.2624943069580159,0.3047085174767379,0.2834634559921289,0.3242410313114639,2000
LM5_common18,0.2683812361065278,0.3100351387770385,0.2889198694995812,0.3297168541064779,2000
LM5_common18,0.2742681652550397,0.3153166569848726,0.2942745197138035,0.3352023677567122,2000
LM5_common18,0.2801550944035516,0.3205550790677102,0.2995606089618967,0.3406621031665835,2000
LM5_common18,0.2860420235520635,0.3257523412262026,0.3045278269643664,0.3457203960493019,2000
LM5_common18,0.2919289527005754,0.3309103127379336,0.309541321675712,0.3509656768924525,2000
LM5_common18,0.2978158818490873,0.3360307996177945,0.3146380518494659,0.3562667717036589,2000
LM5_common18,0.3037028109975992,0.3411155481006701,0.3197657733310745,0.3613345470043632,2000
LM5_common18,0.3095897401461111,0.3461662479530531,0.3249217129839652,0.3666596791837408,2000
LM5_common18,0.315476669294623,0.3511845356207935,0.3300989570318233,0.3717402329065241,2000
LM5_common18,0.3213635984431349,0.3561719972205466,0.3350383058819646,0.3767054987643498,2000
LM5_common18,0.3272505275916468,0.3611301713826451,0.3400504201029797,0.3817835067045629,2000
LM5_common18,0.3331374567401587,0.3660605519531427,0.3448671979227181,0.3869746523635751,2000
LM5_common18,0.3390243858886706,0.3709645905627014,0.3493975591207702,0.3919469676041288,2000
LM5_common18,0.3449113150371825,0.3758436990698323,0.3539270356517259,0.3972344927506254,2000
LM5_common18,0.3507982441856944,0.3806992518857905,0.3585313371341599,0.402170994843868,2000
LM5_common18,0.3566851733342063,0.3855325881881805,0.3631642528201931,0.4071966330760684,2000
LM5_common18,0.3625721024827182,0.3903450140300495,0.3676317441542269,0.4124146612503098,2000
LM5_common18,0.3684590316312301,0.395137804350966,0.3722048950816173,0.4172550507383826,2000
LM5_common18,0.374345960779742,0.3999122048962839,0.3764178909544759,0.4222642769196866,2000
LM5_common18,0.3802328899282539,0.4046694340505024,0.3807303479643604,0.427480832689235,2000
LM5_common18,0.3861198190767658,0.409410684590341,0.385034652001704,0.4329680304144058,2000
LM5_common18,0.3920067482252777,0.4141371253628677,0.3889147679777854,0.4384291943730758,2000
LM5_common18,0.3978936773737896,0.4188499028937436,0.3931173873613806,0.4439407608866838,2000
LM5_common18,0.4037806065223016,0.4235501429303885,0.3973137805756354,0.4491496322718176,2000
LM5_common18,0.4096675356708135,0.4282389519246196,0.4011638549816129,0.4546565537477622,2000
LM5_common18,0.4155544648193254,0.4329174184590755,0.4056124726053387,0.4600164272691802,2000
LM5_common18,0.4214413939678373,0.4375866146215213,0.4096029919166459,0.4655342242432105,2000
LM5_common18,0.4273283231163491,0.4422475973309076,0.4136616620378744,0.470686941691517,2000
LM5_common18,0.4332152522648611,0.4469014096188678,0.4176516245825308,0.4759973539645307,2000
LM5_common18,0.439102181413373,0.4515490818701426,0.4219983987244737,0.4817791615822336,2000
LM5_common18,0.4449891105618849,0.4561915691060027,0.4257280252206862,0.4875207543555634,2000
LM5_common18,0.4508760397103968,0.4608294913534563,0.4294422858819275,0.492973157410355,2000
LM5_common18,0.4567629688589087,0.4654633597219669,0.4333996476154046,0.4984707378735653,2000
LM5_common18,0.4626498980074206,0.4700936811522038,0.4373574697720078,0.5039355023582835,2000
LM5_common18,0.4685368271559325,0.474720958987082,0.4412401508737611,0.5094401075534506,2000
LM5_common18,0.4744237563044444,0.4793456934883275,0.4451260970617289,0.5148570169518918,2000
LM5_common18,0.4803106854529563,0.483968382343705,0.4486049210254339,0.520647381845792,2000
LM5_common18,0.4861976146014682,0.4885895211664811,0.4526573925311743,0.5259384309556777,2000
LM5_common18,0.4920845437499801,0.4932096039886533,0.4565235108761341,0.5316059539396909,2000
LM5_common18,0.497971472898492,0.4978291237494318,0.459912293540231,0.5369821610508957,2000
LM5_common18,0.5038584020470039,0.5024485727804344,0.463354983436388,0.542481975216604,2000
LM5_common18,0.5097453311955159,0.507068443289037,0.4668522045118715,0.5479913262522571,2000
LM5_common18,0.5156322603440278,0.5116892278413031,0.4703110021507154,0.5537205482936733,2000
LM5_common18,0.5215191894925396,0.5163114198459251,0.47374398033713,0.5593819012232917,2000
LM5_common18,0.5274061186410516,0.5209355140406015,0.4774156728152708,0.5649560701162681,2000
LM5_common18,0.5332930477895634,0.5255620069823026,0.4807442915192558,0.5704439788137575,2000
LM5_common18,0.5391799769380753,0.5301913975428927,0.4846450150688969,0.5760601259485462,2000
LM5_common18,0.5450669060865873,0.5348241874116103,0.4888354339976551,0.5817341818870125,2000
LM5_common18,0.5509538352350991,0.5394608816059527,0.4928047751716078,0.5874016259021048,2000
LM5_common18,0.5568407643836111,0.5441019889925616,0.4969422878392061,0.5929062093869265,2000
LM5_common18,0.5627276935321229,0.5487480228197674,0.5005721841209637,0.5985767396307556,2000
LM5_common18,0.5686146226806349,0.5533995012635282,0.5043381183747964,0.6043555193287635,2000
LM5_common18,0.5745015518291468,0.5580569479885763,0.5078389740945732,0.6097555064814364,2000
LM5_common18,0.5803884809776587,0.5627208927266957,0.5113149370850092,0.6154302578148841,2000
LM5_common18,0.5862754101261706,0.5673918718741507,0.5148802651131564,0.621226436161804,2000
LM5_common18,0.5921623392746824,0.572070429110431,0.5186633497638229,0.6266563367617329,2000
LM5_common18,0.5980492684231944,0.5767571160406041,0.5225679463650094,0.6320365666316157,2000
LM5_common18,0.6039361975717062,0.5814524928637441,0.5261702334125865,0.6374544374514327,2000
