analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,PPV,-0.025 (-0.031 to -0.020),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,"False-positive alerts per 1,000",40.7 (36.3 to 45.0),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alerts per event captured,0.13 (0.11 to 0.16),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.15,paired difference,Severe early burden + LM5 minus landmark MAP <65,Net benefit,0.004 (0.001 to 0.006),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,Alert rate,0.407 (0.397 to 0.418),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,Sensitivity,0.711 (0.692 to 0.730),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,PPV,0.457 (0.441 to 0.474),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,"False-positive alerts per 1,000",221.2 (212.6 to 229.8),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,Alerts per event captured,2.19 (2.11 to 2.27),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + LM5,Net benefit,0.131 (0.122 to 0.140),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,Alert rate,0.534 (0.524 to 0.544),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,Sensitivity,0.817 (0.800 to 0.833),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,PPV,0.400 (0.387 to 0.415),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,"False-positive alerts per 1,000",320.0 (310.3 to 329.5),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,Alerts per event captured,2.50 (2.41 to 2.59),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + early mean MAP,Net benefit,0.134 (0.124 to 0.144),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,Alert rate,0.429 (0.418 to 0.439),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,Sensitivity,0.732 (0.714 to 0.750),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,PPV,0.447 (0.431 to 0.463),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,"False-positive alerts per 1,000",237.3 (228.2 to 246.3),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,Alerts per event captured,2.24 (2.16 to 2.32),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,strategy,Severe early burden + landmark MAP <65,Net benefit,0.132 (0.123 to 0.142),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,Alert rate,-0.126 (-0.134 to -0.119),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,Sensitivity,-0.106 (-0.119 to -0.093),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,PPV,0.056 (0.048 to 0.064),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,"False-positive alerts per 1,000",-98.8 (-105.6 to -92.0),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,Alerts per event captured,-0.31 (-0.35 to -0.26),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus early mean MAP,Net benefit,-0.003 (-0.007 to 0.001),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alert rate,-0.022 (-0.027 to -0.016),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,Sensitivity,-0.021 (-0.031 to -0.011),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,PPV,0.010 (0.004 to 0.016),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,"False-positive alerts per 1,000",-16.2 (-20.6 to -11.5),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alerts per event captured,-0.05 (-0.08 to -0.02),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.2,paired difference,Severe early burden + LM5 minus landmark MAP <65,Net benefit,-0.001 (-0.004 to 0.001),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,Alert rate,0.339 (0.329 to 0.349),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,Sensitivity,0.637 (0.617 to 0.657),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,PPV,0.492 (0.473 to 0.510),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,"False-positive alerts per 1,000",172.3 (163.8 to 180.2),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,Alerts per event captured,2.03 (1.96 to 2.11),post-U0 exploratory full-workflow comparison
