analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,Alerts per event captured,2.85 (2.70 to 3.02),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,strategy,Landmark MAP <65 rule,Net benefit,0.075 (0.067 to 0.082),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,Alert rate,-0.235 (-0.246 to -0.224),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,Sensitivity,-0.187 (-0.208 to -0.164),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,PPV,0.066 (0.056 to 0.077),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,"False-positive alerts per 1,000",-198.3 (-208.4 to -188.4),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,Alerts per event captured,-0.77 (-0.88 to -0.66),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus early mean MAP,Net benefit,-0.001 (-0.006 to 0.004),prespecified principal operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,Alert rate,0.062 (0.056 to 0.068),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,Sensitivity,0.067 (0.052 to 0.082),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,PPV,-0.023 (-0.031 to -0.015),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,"False-positive alerts per 1,000",48.8 (43.5 to 54.2),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,Alerts per event captured,0.20 (0.13 to 0.26),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,paired difference,LM5 minus landmark MAP <65,Net benefit,0.004 (0.001 to 0.007),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.15,decision reference,Alert all,Net benefit,0.0527 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
Stage-2 fixed threshold,0.15,decision reference,Alert none,Net benefit,0.0000 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,Alert rate,0.290 (0.279 to 0.301),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,Sensitivity,0.536 (0.509 to 0.562),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,PPV,0.360 (0.338 to 0.380),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,"False-positive alerts per 1,000",185.7 (176.7 to 195.1),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,Alerts per event captured,2.78 (2.63 to 2.96),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,LM5 common-18,Net benefit,0.058 (0.050 to 0.066),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,Alert rate,0.442 (0.429 to 0.453),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,Sensitivity,0.706 (0.681 to 0.730),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,PPV,0.311 (0.296 to 0.327),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,"False-positive alerts per 1,000",304.0 (293.3 to 314.5),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,Alerts per event captured,3.21 (3.06 to 3.38),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Early mean MAP model,Net benefit,0.062 (0.053 to 0.070),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,Alert rate,0.316 (0.305 to 0.327),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,Sensitivity,0.569 (0.542 to 0.595),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,PPV,0.351 (0.331 to 0.370),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,"False-positive alerts per 1,000",205.1 (196.0 to 214.6),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,Alerts per event captured,2.85 (2.70 to 3.02),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,strategy,Landmark MAP <65 rule,Net benefit,0.060 (0.052 to 0.068),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,Alert rate,-0.151 (-0.160 to -0.143),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,Sensitivity,-0.170 (-0.192 to -0.148),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,PPV,0.048 (0.035 to 0.061),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,"False-positive alerts per 1,000",-118.3 (-126.1 to -110.2),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,Alerts per event captured,-0.43 (-0.53 to -0.33),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus early mean MAP,Net benefit,-0.004 (-0.009 to 0.001),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,Alert rate,-0.026 (-0.032 to -0.020),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,Sensitivity,-0.034 (-0.049 to -0.017),post-U0 exploratory current-state benchmark
